"","sentiment.score","ReviewContent","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"15",1.45,"I was not expecting more than a ""beach book read"" but this was really bad.  It amazes me what ends up on the NYT bestseller list and book club selections.  To be in either catagory would suggest a minium amount of competency.  Out of sheer stuborness I stuck with it to see if it would improve but it just kept getting worse.  The ending was so awful, worse than the rest of the book, if that is at all possible.Totally confirmed my opinion that this is a little stinker of a book.  Not worth your time or money.P.S.  Some reviewers seem to have misread the NYT review.  They actually gave it a very bad review but I thought for $6.99 I would give it a try!",3,5,2,3,3,3,1,5,3,6
"16",0.0500000000000001,"If you're wondering what the international ruckus is about this book, don't. I regret having squandered precious time on this overrated bestseller. The novel is simplistically written, predictably plotted, and littered with self-obsessed, uninteresting characters.",0,2,0,0,1,2,1,0,2,1
"18",1.05,"I am surprised this has been on the best seller list for so long.  I have read many better  written books over the years and this does not rank in the quality for a ""Best Seller"".  Neither did the ""Gold Finch"" which makes me skeptical of buying supposed best sellers.",0,1,0,0,0,0,1,0,1,1
"19",1.4,"Well, it is a compelling mystery. But all the characters are quite unlikeable. Everyone of them is so deeply flawed and make such rotten choices. Again and again and again. It got quite tiresome. I'm giving it three stars because its an easy read and the story is engaging - in a guilty pleasure kind of way...a lot like those aweful choices in the story. I just kept reading.",1,1,0,0,2,1,1,2,2,5
"20",0.45,"This book was recommended by a friend who described it as impossible to put down. I read it fairly quickly and though I agree the story builds quickly and relentlessly -- but the story is dark and, for me, without reason or purpose. I found the main character troubled but mostly unsympathetic --damaged without the author offering much in the way of why. In fact most of the characters ranged from unsympathetic to pathological. One-dimensional -- completely self-deluded, completely self-absorbed -- completely psychopathic. Unsettling just for the purpose of building suspense. This is not a book I would recommend.",1,1,0,1,2,2,1,7,2,11
"21",0.9,"I am half way through this book and can honestly say I hate it. I can't believe all of the good reviews--I don't understand what all the fuss is about. The character development is weak--and I don't like any of them. It's B-O-R-I-N-G. I would advise you to skip this book and save your money...but obviously some other people like this book. I just don't know why!!!",3,2,1,1,3,2,2,4,3,4
"22",2.25,"I really did not enjoy reading this at all. If it wasn't for the movie that is coming out soon, I honestly would have quit reading very shortly after starting. It's, in my opinion, very exaggerated in the way it plays out the plot. I lost interest a few times, especially with how annoying the main character is. None of the characters are likeable, or supposed to be likeable, which I get, but it leaves the reader unable to connect to the main or even supporting characters in the book. A lot of the actions felt extremely forced, like they had to be created for the story line so the situations came off unplausible. I found myself bored more than once, and truly celebrated being finished with it. I gave it two stars instead of one, because at least it had a good editor and satisfying(ish) ending.",1,5,0,1,4,2,1,4,6,9
"24",2.35,"Everyday, Rachel takes the train to work. As the train comes to halt at a signal, she daydreams about the people in the houses she sees. She watches the moments of their lives that she observes from the train, and she makes up stories about them. This is merely daydreaming, until the day she witnesses something. Then, everything changes!As I read this, I kept thinking about that voyeuristic quality that I enjoyed in Hitchcock’s REAR WINDOW. We all seem to enjoy looking into other people’s lives and catching a glimpse of what a stranger’s private life might be like.This book kept me guessing until the last minute. Because the author narrated different chapters in the first person by three alternating characters, we are able to get to know them from the inside out, understand how their minds work, and see how they evolve as the tension of the murder mystery builds. This is a very clever way to both allow the reader to relate to the characters and their feelings, as well as to tell a story from varying viewpoints. I bet you can’t put this one down! I couldn’t!",2,2,1,2,1,1,2,2,3,4
"25",0.65,"4.5 starsCan't really explain why this story grabbed me like it did. On the surface, it doesn't seem like it should have.  It's told in first person, which I prefer, but in present tense, which I hate.  I can understand the comparison to Gillian Flynn's Gone Girl, which I loved, in that the characters aren't the least bit likable or the kind of people anyone would want to be friends with. Rachel is weak and whiny, Anna is self-absorbed and stupid, and Megan is self-indulgent and reckless. All three are ridiculously juvenile. There's very little dialogue, a huge part of the narrative is backstory, and one of the characters is constantly blacking out and remembers nothing, which I found not all that believable. Then there's the fact I guessed early on ""whodunnit"".And yet, it was a remarkably gripping read.  I was compelled to finish.  I wish I could put my finger on why.  You'll just have to dig in and see if it grabs you, too.  But know this, I am a very difficult reader to satisfy, but this book was strangely gratifying.",2,1,1,3,3,1,1,7,4,8
"26",1.05,"I am surprised this has been on the best seller list for so long.  I have read many better  written books over the years and this does not rank in the quality for a ""Best Seller"".  Neither did the ""Gold Finch"" which makes me skeptical of buying supposed best sellers.",0,1,0,0,0,0,1,0,1,1
"27",1.4,"Well, it is a compelling mystery. But all the characters are quite unlikeable. Everyone of them is so deeply flawed and make such rotten choices. Again and again and again. It got quite tiresome. I'm giving it three stars because its an easy read and the story is engaging - in a guilty pleasure kind of way...a lot like those aweful choices in the story. I just kept reading.",1,1,0,0,2,1,1,2,2,5
"28",0.85,"Wasn't my favorite. I read it after ""The Husbands Secret"" as it was one of the recommended based on the books.  The first few chapters were a bit of a hard read to get through.  I had to keep switching back and fourth between the chapter I was reading to the chapter prior to it to remember the names and characters mentioned already.  I was pretty annoyed with the main character and everything about her.  From the first chapter she was introduced I was like ""ugh"".  She reminded me of a Jenji Kohan character, someone who just does stupid stuff all the time but yet remains in the lead. Just wasn't all the ""hype"" I was expecting.  The best part of the book when I was actually enjoying it was the last 2 chapters.  Prior to the last chapters I was just struggling to get through it and forcing myself to finish it only because I paid for it.  I hate starting books and not finishing them.  I'll finish the worst book even if it takes me 10 months off and on because I don't like leaving books unfinished.  Simply ok. Nothing amazing.",1,5,2,2,3,1,0,5,5,7
"30",4.9,"Ugh. So many glowing reviews, so much hype, a forthcoming movie... Color me confused. (Well, not on the movie bit -- doesn't take a good story to make a few bucks from a moving picture show).I was expecting something groundbreaking, or at the very least, something original. You'd think I'd learn not to put so much stock into reader reviews, and that even the NYTimes and NPR aren't always on target with their literary praise, but, alas, I bought into the hype.The story was banal and dull, and frankly, rather juvenile in form. There's nothing interesting or exciting in the writing style (I feel like you have to be REALLY good to pull off first-person -- it wasn't successful here), and at no point did the author convince me to care what happened to the characters (which is funny, because I'm a 30-something female who could (in theory) relate to some facets of the characters' lives).There's nothing compelling about this book, and it is an absolute mystery to me why so many glowing reviews!I'm ashamed to admit that I didn't even download the Kindle preview first. Looking for a good, late-summer read, I saw the great reviews and grabbed the whole book. My dumb mistake! You'd think I would have learned to always get the preview -- it is, after all, what saved me from the awful writing of EL James.",1,8,2,1,4,5,3,7,8,15
"31",5.8,"I finally succumbed and bought this book to see what all the hoopla was about and, no, I haven’t seen the movie. I found it to be a super entertaining read. I finished it in the ‘wee smalls,’ unable to put it down. What I really liked about it was that though I thought I’d figured out who the evil doer was at the very beginning, the author kept leading me astray … so that I abandoned my first impression only to be surprised at the end when I found that I was right from the start!The story is told from alternating points of view which I liked, too.The novel is dark and fast-paced, the characters are complex and the plot is compelling. Highly recommended for thriller fans. Five big, bright, shiny stars",2,4,2,3,3,4,2,5,4,8
"33",0.0500000000000001,"If you're wondering what the international ruckus is about this book, don't. I regret having squandered precious time on this overrated bestseller. The novel is simplistically written, predictably plotted, and littered with self-obsessed, uninteresting characters.",0,2,0,0,1,2,1,0,2,1
"34",1.6,"After such great reviews I had hope this would be a good book. I like books about imperfect people; Gillian Flynn books or Bingham's Fiona Griffiths are my cup of tea. But, this is a book about stupid pathetic people, I don't have the patience for that. I did finish the book though and I am not disappointed that I read the book. I am glad I did, so I can tell you not to rely on the good reviews too much. Get it from the library to be on the safe side.",1,4,2,0,4,2,2,4,3,6
"37",3.7,"First off, I enjoyed this book. The plot was good. The pacing was good. The limited, first-person points-of-view is an effective mechanism for this story. I did figure it out, but I did not nail it down too quickly. I was definitely interested to see how it resolved. The characters, however--except for maybe two--are not exactly relatable. Each is thoroughly flawed with minimal self-awareness or empathy for anyone else. I suppose if you put enough self-absorbed folks within proximity of one another, something's bound to happen. It does! Trying to figure out what that something was and who did it was good fun. I might have liked actually liking somebody involved in all that mess, though. (Or maybe it's better that I didn't.)",1,3,2,0,3,2,1,3,3,7
"38",0.75,"There has been much talk about this book and being a fan of thrillers I couldn't wait to read it. I found it tedious and hard to get through. The two stars are for the way the author crafted the story and the skill used in making all her characters so utterly pathetic that i didn't care what happened to any of them and I wanted them all to meet their demise by the end. I can see why people liked it as unpredictable, I wasn't surprised by the end though I was hoping for it.",0,1,1,1,1,2,2,2,5,3
"39",2.05,"I finally had to stop reading this book, a rarity for me.  I generally slog on, figuring that eventually everything will come together and it will be worth the parts I didn't enjoy.  This book, however, just didn't engage me.  I didn't like the characters and I couldn't get into the story.  I've read a lot of books where the protagonist's self destructive behavior and addictive personality are woven into the story.  However, in this case, she just seems sort of pathetic; I can't work up any empathy for her and finally, I just didn't want to read any more about her.  The other characters were sort of slimy as well.  Obviously others don't share my view of this book, but hey, that's why we have so many authors in the world!",1,3,4,2,3,2,2,3,4,6
"40",2.7,"Knowing this book was a best seller and had been made into a movie was what attracted me.  As probably all mystery/suspense genre readers do, I speculated on who might be the bad guy (nothing personal, fellas), and found myself waffling.  I did not, however, find the writing or story development as enchanting as the rest of its readers must have.  In my experience, the movie is never as good as the book.  This may be an exception.",1,4,1,2,3,1,3,3,1,5
"44",1.1,"The reader becomes a voyeur into the life of a voyeur. The characters in this book are definitely out of the norm (I hope), each with some serious problems and some extreme behaviors. There is an air of mystery as I was almost reluctantly drawn into the story, wanting to know more about these creepy people and to learn what had actually happened to them, as the story unfolds from different perspectives. It would be impossible to lump any character into a category of either ""good"" or ""bad,"" as (with all humans) each is a complex combination of both. All seem to be in need of a trusted friend,partner and/or counselor. But wait! These needs are being met by those types of people throughout the book - or are they? Is anyone truly worthy of trust? (Note: The sex and violence is not explicit.)",2,5,1,2,4,4,3,7,6,9
"45",2.9,"I don't know why we have this morbid fascination with murdered young women, but we do, and with all the good and mediocre novels on the subject, this one stands out as superior. It is very clever and fast-paced with a unique twist. The main character, Rachel, who has been deeply wounded by betrayal in her marriage, has become a bitter, jealous drunk, and yet she is totally lovable. When she is not harassing her ex and his new wife, she is watching the lives of others out the window of the train on her daily commute, and living vicariously through them. Until something happens that changes several lives. And Rachel saw something significant, but she can't remember what it was because she was in a blackout. Read it. You'll love it.",3,4,2,0,5,2,3,3,5,11
"47",0.05,"Terrible, can't understand why it is on the bestseller list .",1,0,1,1,0,1,0,0,1,0
"48",2.25,"According to other reviewers, The Girl on the Train was compared to Gone Girl.  This is NO Gone Girl!  About 1/2 way through the book, I realized who dun it.  From that point on, I found the content to very redundant and 'spoon fed' to me.  I also thought there was a slightly significant difference between actual text at the end of the book and a scene leading up to the end.  Without giving too much away, the discrepancy specifically involved reference to a corkscrew,If you want a REALLY good read like Gone Girl, read Sharp Objects (or even Dark Places) and skip reading The Girl on the Train.As far as the author's writing it is somewhere between ok and good.",0,2,0,0,3,1,1,4,3,6
"50",2.75,"I do find myself agreeing with several other readers that the main character was a touch difficult to connect with. At least at first.As the story unfolded and the end grew ever closer, it became clear why she'd fallen into her drinking habits and why her life was such a mess.However, I will say that if you've spent as much time reading these sorts of thrillers and studying them as I have, you may not be quite as shocked at the big reveal as others. I had it figured out several chapters ahead of time, but reading the characters reactions was still enjoyable.Overall, a fairly decent thriller!",0,1,1,1,0,0,0,2,3,6
"51",1.85,"The Girl on the Train fits into what I call ""junkfood literature"" - not gonna change your life, but it's a fun, easy read.  The writing is good.  The narration dragged along in some parts, but overall it held enough suspense to keep me basically hooked til the end.  Although it was entertaining and fresh, it was depressing and left me just, well . . . depressed.  If you don't mind that, give it a chance.  I won't count Paula Hawkins out for future books.  The ending even left a bit of room for a possible sequel.",2,5,1,3,3,2,3,2,4,4
"53",0.9,"For once the movie was pretty close to the same as how the book was laid out, with the book of course always going into more detail because you have the narrative to back up the storyline. I do think having watched the movie before reading the book helped because the book switches back and forth many times between different timelines that would have otherwise been confusing to keep up with. Overall I was not disappointed with the book and had been wanting to read it for quite some time, glad I did.",1,3,1,0,2,2,0,1,2,3
"54",4.75,"I really enjoyed reading this novel.  I appreciate novels that spend time developing character and this one did. Telling the story by weaving the tale together by proving us with seeing things from the aspect of the characters involved adds to the readers enjoyment by providing more mystery to the tale. In addition, I enjoy stories that show flawed characters, which we all are, and this one had its share.  ...and, as always, the book was a lot better better than the movie.",0,5,0,0,3,0,1,4,0,5
"55",0.35,"Here we go again I thought,when I was reading about a young girl,she feels she is not longer desirable,because she off-putting in some weight,divorce,alcoholic,lost control of her life, misery,loneliness,mentally unstable,almost stop reading this great book,is very interesting keep you in suspense,I didn't do nothing all day,I can't put it down,is so good reading,I didn't waste my day,this book is worthy my time,ha ha ha, I recommended you will like it a lot,I give 5 stars because keep me like a glued,and that is something that makes me happy,Thelma.",2,7,4,6,4,5,6,5,7,8
"56",2,"This book made feel goosebumps. Certain parts were written very well that it had me looking behind my shoulder. Good mystery had me guessing pretty much the whole way convincing me along the way that it could of been others. Only negative to me was that some parts felt like fillers pointless and dragging on very few though. I recommend this to any mystery reader, people struggling with alcohol (me), and I personally think those books are awfully written but any fan of fifty shades of grey would enjoy this. Watching the film later.",0,4,0,0,3,2,2,6,2,6
"58",1.65,"The only reason I didn't stop reading this book after the first 100 pages is because I kept thinking surely this novel will pick up it's pace at some point.  Not this novel.  Slow moving, very predictable and lame.  The one positive I can say is good character development.  I do not recommend this novel.",0,1,0,0,1,0,1,2,0,5
"59",1.3,"I devoured this book in just a few days, which is rare for me these days, but a sure sign that it was good as I could not put it down. It's got a very Gone Girl-esque feel, and until the last few chapters I was totally in the dark as to how the story was going to end (and I only got an idea as to how it would because I cheated and peeked ahead a few chapters one night). Recommend if you enjoy thrillers and suspense novels!",0,3,0,1,2,1,2,3,0,4
"63",3.55,"The Girl on the Train is like no other book I have ever read before. Typically I read historical fiction and contemporary romance so this book isn't usually what I would buy but I had heard it was impossible to put down. I was surprised by how much I enjoyed the novel even though it was creepy and I felt that nothing quite added up. Something always felt a bit off. The novel had me at the edge of my seat and I finished the second half of the book in one day. I really had a hard time putting it down because the author has a way with storytelling where she ends the chapter with a cliffhanger and I just had to know what happened next. The book switches back and forth between the female narrators and the dates when certain events took place so it was sometimes a bit difficult to follow in the beginning and keep track of where everyone was on the same date but after awhile the dates got closer together and everything came together. The ending was a big surprise to me and I never would've guessed it. Like I said, I don't typically read psychological thrillers but I am glad I took a chance on this one. I highly recommend this novel to everyone, regardless of your preference in literary genres.",0,4,0,3,3,2,4,3,1,6
"64",2.65,"I really enjoyed the way the tale is told from the perspective of the three women. It held my attention while tempting me, consistently, to ponder the next turn and unfold the connections and clues that take the reader round the next corner of the story. After finishing the book I rented the movie and found it to be an awful interpretation.",1,1,1,1,1,1,0,1,1,5
"65",6.9,"Wow! I loved this book and to think that I almost didn't read it. For whatever reason, I had a hard time connecting with the book in the beginning, but kept at it at the insistence of so many friends. I am so glad I did. It was slow at the beginning, but it paid off in the end. The book is told from the point of view of three different women. The unreliable narrator tactic worked well with the way the author told the story from different dates. If you liked Gone Girl you will like this book. I don't see how my review is even necessary or helpful considering how many reviews this amazing book and author already have, but I wanted to share anyway. Once I got into the book, I could not put it down and had to know what would happen next. I guessed who the killer was, but I don't think that means anything. The book is a psychological thriller not a mystery so the suspense comes from wondering if our MC will escape the dangers posed by the villain and not from solving the mystery of who dun it. It was a nail biting experience at the end as I worried for two of the main characters and wondered what would happen. I can't say more without giving it away.If you are one of the few who has not read this book, you simply must read it. Please don't let the slow start put you off. You will see, soon enough that it was worth the wait. This novel is unique and not like any other book out there. It shares many of the same plot techniques and narrative as Gone Girl, but the story is completely different from Gone Girl and from any other book. That's what makes the book such a hit.If you have read this book and loved it like I did, I highly recommend that you read, Peter Swanson's The Kind Worth Killing. It hooks you much quicker and it is every bit as good as The Girl on the Train. Both are at the top of my all time favorite books. You can read my in depth review of The Kind worth Killinghttp://www.melissasugarwrites.com/2015/05/the-kind-worth-killing-review-with.html",2,11,0,4,6,2,4,10,8,17
"66",2.85,"I enjoyed this book. I liked the character development. I did have to go back from time to time to see which character I was reading about and the story was choppy at times but I loved the final chapters and couldn't put it down since I just had to know what was going to happen. I liked the premise of someone on a train fantasizing about the lives of the people they watch daily from a train window. I hope to read more from this author.",0,5,0,1,1,0,1,2,0,3
"67",0.7,"This is an excellent psychological thriller about an alcoholic and her imaginations from riding a train daily.  She gets involved in making up stories about a couple who live on the train route as she longs for her ex-husband who lives on the same street.  As a recovering alcoholic, I found it a little difficult to live through her drunken sprees and blackouts but it all comes together in the end with the unexpected ending. Highly recommend it.",0,2,1,2,3,0,1,3,2,4
"69",1.9,"I couldn't put this book down once I really got into it.  I especially liked the last third of the book.  I loved the use of multiple narrators.  The book has inspired me to begin working on my first book.  Of note, I may be guilty of liking the book's style more so than the actual story or characters. Sue me.",2,0,0,0,2,2,1,2,2,4
"70",1.2,"I kept reading hoping that I would get to the end ASAP.  I got tired of all the jumping around with flashbacks and then back to the present as well as jumping from character to character trying to keep them straight.  I just wasn't worth it to me to have spent so much time on such a disappointment.  I believe that there might be some readers who would find the book passable, but i did not.",0,2,1,0,1,1,1,1,3,3
"74",1.6,"Pay attention to the chapter titles!  I was completely confused for the first third of the book, but once I understood it not only changed chronological order but also the first person telling the story with each chapter, it all made sense.. .to the point that by the end I almost knew ""who dunnit"".  Overall good story and well written.",0,2,0,0,2,0,1,2,0,5
"75",3.95,"This book was a selection of my book group. It did not particularly interest me but my husband thought it sounded interesting and we like to read together. So we read the Kindle edition which did not have actual page numbers, and used the percent read to keep track of our progress. Somewhere around 80% our persistence to finish the book began to pay off. Both of us are glad to have it finished.",0,6,0,0,3,0,0,1,0,8
"78",0.85,"I got off to a slow start, had to re-read the beginning to keep the key characters apart.  The three primary characters are all speaking in first person so at first they were all running together, to me.  But after the first few chapters, it hooked me.  It is a true ""who done it"" - and I was surprised.  Had some theories through the whole book but they were knocked away.",0,1,0,0,0,0,1,0,1,1
"79",1.95,"Just finished reading this amazing thriller. I wanted to read the book before watching the movie and I am so glad that I did. It kept me up several nights past my bedtime because I just couldn't put it down. The story line was amazing and I swear I thought almost every character was the killer at one point or another. Definitely picked my brain. Would totally read another book by this author. It's now on my list of favorites, right up there with Gone Girl!",0,2,0,0,1,0,0,2,0,4
"84",1.7,"It is popular and I was curious. It is interesting as a tour de force in the psychological genre, but I found it diffuse and a bit tedious. I never felt that I cared about any of the characters in the story. The journey I was being led on thus never really captured my imagination. To me, that is a significant failure in plot and character development. Perhaps, it is just not my type.",1,1,1,3,2,1,0,1,3,3
"85",3.6,"Put aside plenty of time to read this book.I am always looking for books that are character driven.  The main protagonist is damaged, broken and an alcoholic.  She is not someone that welcomes warm and fuzzy moments.  Her life has been spiraling out of control for some time.  Her choices and habits come back to bite her on a regular basis.It took a while for me to engage with this character.  As an addict in recovery, this book cause me to squirm quite a bit.  I've lived her story in many ways.  I had to overcome my comfort level to continue to read this book.  I am glad I did.There are so many layers to this book.  It is the proverbial onion, complete with aspects that sting the eyes to near tears.The plot has so many twists and turns.  It is very much like that rollercoaster that you avoid at all costs.  Your friends and family tease you, prod you, yet you steadfastly say never.  Next thing you know, you are on that rollercoaster, unsure the bar across will hold you in.  After wards, you are asked whether you enjoyed it.  With a wry smile, you say quietly, ""Yes, yes I did.""The many reviews of this book may not do it justice.  I suspect the intrepid reader will find within its nooks and crannies a very satisfying read.",3,5,1,4,3,2,1,5,8,11
"86",0.05,"No wonder they made a movie from this book. It was a great story! Characters developed as you turn each page, and the plot was thick with mystery, betrayal, love, heartbreak, murder, and it was an awesome thriller!",2,1,2,1,1,2,2,0,2,1
"87",1.55,"Interesting, compelling storyline and definitely held my attention to the end.  The characters and their flaws just kept coming but not in a way that detracted but instead pulled you into the story tighter and tighter.  I must admit to feeling exhausted by the time it ended.I can certainly understand why this book was chosen to become a movie.",1,3,1,1,1,2,1,1,2,5
"88",2.3,"While Rachel is not the most sympathetic protagonist (drunks usually aren't) her story is a fascinating one. Interesting approach in this book to weave the viewpoints together of the major participants. Lots of false leads, red herrings, and the self centered perspectives that people often have combine for an interesting mystery and a fascinating read.",0,1,0,1,1,1,1,1,0,4
