"","sentiment.score","ReviewContent","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"41",-5.45,"You know those movies, where there is a perfectly normal character who then, in the final act,  is suddenly revealed to be a psychopath?  Who, instead of killing the person who has figured it out, incredulously decides to confess to them everything they did and why they did it?  It is that cliched plot device that gives the cornered ""good guy"" the opportunity and the time to thwart the ""bad guy.""  It is lazy and uninspired writing, and it left me feeling cheated.This book commits the cardinal sin of writing.  It tells the story instead of showing the story. I'd wait for the next train if I were you.",4,5,3,4,2,5,4,3,9,4
"42",-0.55,"I finally decided to start putting down the iPad and get back to print. This was one of 3 recent book orders. Love the story. The quality of the book and print is HORRIBLE! Not sure who's manufacturing but you should never use them. Print is so bad I can't read some pages. My eyes are bad enough, I don't need a book that creates double vision! Paper is not bound well. Book will surely fall apart before I'm done. How disappointing! But, this is a first so not giving up on print yet!",2,3,3,2,2,3,1,1,5,4
"43",-1.3,"I couldn't wait for this book to come out. It was such a disappointment. This was probably the darkest book I've ever read. Just when I thought It couldn't get any darker, it did. There were only five main characters. Not only were they all dysfunctional but it was hard to keep them straight. When the story was being told from each respective character's point of view, the writing tones were all the same and sometimes it was hard to determine who was actually doing the talking. But, I didn't give it up and finished it to its dark ending. There was absolutely no uplifting parts to tis book.",0,2,1,0,0,2,0,0,2,1
"46",-0.25,"I was really excited about this one, as so many people were raving over how good it was at the time I read it. Unfortunately I found it hard to get into – nothing much happened in the first 100 pages. Characters were too depressing and pathetic. Not really fond of novels where woman are written as victims who don’t do anything to help themselves, even when they start to figure out somethings wrong. Mystery wasn’t that clever or original. Liked her writing style so will try her next book, but hope it’s better than this one.",1,7,2,1,5,2,5,5,4,6
"49",-0.65,"I almost stopped reading it by chapter 3 - but it was suggested I finish it ""it will get better""  It didn't...was a waste of time and very disappointing.  A one star is too much for this.  I'd rather read a cereal box.",0,2,1,0,1,1,0,1,2,2
"52",-1.25,"There's nothing particular that I can point out about why I hated this book.  I did finish it, just because I wanted to find out if Rachel was truly as crazy as I thought she was (she is).  I bought this based on ""if you liked Gone Girl, you'll love this"".  The only thing this book has in common with Gone Girl is that the main character was absolutely batshit crazy.  She's developed, but predictable.  She continually gets drunk, feels bad about it, then makes the same mistakes over and over again.  She is continually abusing the people in her life who are just trying to help her.  The ending did take me by surprise for about 3 sentences, then I figured out exactly what was going to happen.  Again, this is by far not the worst book I've ever read, but don't plan to read anything Paula Hawkins ever writes again.",2,3,1,3,2,2,1,0,2,3
"57",-2.55,"The inner thoughts in this book are compelling narratives by women who act badly and hate themselves for it. Unremitting self-destructive thoughts, abuse of themselves and getting themselves abused by others, and alcohol dominate their lives. The plot  is a very intelligently constructed mystery that depends on these women being the way they are, and their struggles to escape their nature. A very satisfying read.",4,2,3,5,0,3,1,0,6,3
"60",-3.6,"Rachel, an obsessive alcoholic who has blackouts, is struggling with life after divorce and sinking further and further into oblivion.  She becomes involved in a missing person case that she witnesses from a train and the case gradually takes over her life.I was torn between giving this book five stars or one star.  Why?  Because, while it's clever, it was excruciatingly slow to get to the point.  It is told in the first person, in turns, by three women, all s-l-o-w-l-y painting a hazy picture of a puzzle that isn't explained until the very last pages. It was extremely frustrating and a few parts were borderline boring.However, I was fascinated by the author's stream-of-consciousness style even in the present tense, which I usually dislike.  There is virtually no dialogue for the first 30 pages, just rambling thoughts. The pace definitely picked up toward the end and got really exciting.  Then, I was hooked and couldn't turn the pages fast enough to discover the very satisfying conclusion.There is a very small cast of characters, none of whom are very likable, and yet the book held my interest throughout.  Something different.",3,3,2,4,3,3,3,3,10,7
"61",-3.65,"OK, I know it's only February, but I read a lot -- usually at least 3 to 6 books per month. I read this novel more slowly than normal, savoring the storyline, the prose, the character development. I found the concept of the storyline original and intriguing, the characters believable, and the ending surprising (so to the reviewer who expressed boredom and disappointment with an obvious conclusion, um, maybe you should be a detective or a mystery writer 'cuzl I so did not see that coming!) I was immediately drawn in and caught up in the story, and stayed up too late reading on more nights than is good for me if I want to keep my job. I found Ms. Harkins's writing entrancing, and even the shifting points of view and jumps back and forth in the chronology didn't bother me; rather they added a dimension of realism to the inevitable unreliability of multiple narratives.I'm not going to rehash the plot yet again. Yes, Rachel is a fall-down blackout lying drunk who's stalking her ex husband. Does that make her unsympathetic or unlikable? Maybe. She's also a disillusioned woman who has never fully dealt with devastating losses in her life. Which probably have contributed to her becoming a fall-down blackout lying drunk. (Yes, I know that's a sentence fragment.) Or, perhaps I just liked her because I used to be a fall-down blackout lying drunk with stalker tendencies. And, I guess the fact that I didn't foresee the ending can be attributed to brain damage from all that alcohol consumption.Anyway, I loved the book and didn't want it to end. I highly recommend it to fans of Gone Girl and The Husband's Secret. If you're an Alfred Hitchcock addict, as I am, I think you'll enjoy this novel.",5,7,5,2,3,7,5,10,11,11
"62",-1,"Hummmmmm. So many with the same title. Confusing and all the back many forth from one character to another.  I read it because of the movie....I like the UK setting and have been on the train...... a bit disappointed in this but stayed with it even though I had it figured out.",1,0,1,0,0,1,0,1,1,1
"68",-0.65,"This novel is written in first-person of three women, which provides the tension and perspective. The premise is engaging, and I was most intrigued by the insight it offers into the struggles of addiction. I have experienced the same cycling and thought patterns that the narrators are subjected to. The author either has been there herself, or is intimately acquainted with such persons.Though the story drags a bit occasionally, it will keep you reading to the end.",1,2,0,1,2,1,0,3,2,4
"71",-1,"I have only read about 22% and am so bored I have gone on to another book.  Sorry I bought this book",0,0,0,0,0,0,0,0,0,0
"73",-0.35,"Let me start by saying, I don't understand the hype of being riveting. Before you get upset, this is not a slam or bad review. I did rate it four stars! This is my honest review and I didn't find it riveting.I did, however, find that it was very well written and intriguing. I was about 3/4 of the way through the book before I something crucial clicked and once it did, it all made sense.It did take me several chapters to realize it was bouncing timeframes. I had gotten really confused until I went back and double checked the dates. Things fell into place better after that.I got quite angry at Rachel but that was the nature of her character. The book elicits most of the correct feelings and moods as it should but I wasn't riveted to it and it took me longer than it should have to read it. The one thing I didn't feel enough of, or any, was dread. There should have been a great deal of dreadful feelings with a sense of foreboding. It just want there for me, maybe I read too many suspense/mystery/thriller novels to truly appreciate this book.Those are my Novel Thoughts, though I can't guarantee a Happily Ever After.",6,8,4,7,3,5,4,4,9,7
"76",-13,"This is a story of nasty dudes and naive women. I loved it. It’s being compared to Gone Girl by Gillian Flynn, but that’s not a good comparison. They are both amazing in their own ways and for very different reasons. This book has so many questions that have to be answered. Is Megan dead or did she run away? Both are plausible. Why is Rachel so obsessed with her? Is it just her imagination? Why is Tom so passive of Rachel’s constant intrusions? Who is sleeping with who? Does Anna have any redeeming qualities?The characters are flawed and some are downright detestable. The story focuses on three women: Rachel, the drunk who can’t let go of her ex-husband, Anna, the one who stole him away, and Megan, the beautiful missing woman.Rachel was a great character to read. She is completely broken and her only escape is with alcohol. The story is told from first-person perspective and doesn’t have a whole lot of dialogue, so her chapters were desperate and lonely. I could put myself in her shoes. She is someone who is easy to pity, as she travels the train everyday, pretending to go to a job that she was fired from months ago. Every day she looks at a house, only a few down from where she once lived, and watches a loving couple. She creates a make-believe world around them, perfect in every way. It’s an obvious set-up for disappointment.Anna is not likeable. At no point in the book did I feel anything for her but contempt. She knowingly begins an affair with a married man, none other than Rachel’s husband Tom, and effectively steals him away. Granted, Rachel’s depression makes it easy for her. At one point, while she’s admiring her and Tom’s sleeping baby, she remembers the days of sneaking around with him and admits that she misses being a mistress. She loved the sense of danger and wishes she could go back to it. All she feels towards Rachel is disgust. She was a good chunk of the book and suffice it to say that her chapters filled me with my own sense of disgust, aimed at her.Next is Megan, the one I’m not sure how to feel about. Partly, she reminds me of Anna, with her “I don’t care about anyone but me” attitude, but she also reminds me of Rachel, with her struggle against depression and insomnia. Her tragic past is the only part of her character that I could stand, as the rest of the time she’s thinking purely about herself and her memories of when she ran an art gallery and had men drooling over her. Surely, she would be appalled to be compared to Rachel, who is described as being overweight, drunk, and repulsive. Megan’s selfishness is sometimes nauseating, but then a wee bit of humanity shines through. Ultimately, I felt sorry for her, but I didn’t like her.The men in the story are a puzzle. There’s good and bad. It’s a confusing mess and I wasn’t always sure which man I was reading about through these women’s thoughts. Have no fear, the book did not leave me with a total sense of hopelessness concerning men in general, even though the author did not show them in a positive light.It’s definitely a mystery. I had inklings all the way through, but it wasn’t until about seventy percent through that I said, “Ah-ha!” I’m always impressed with a book that can keep me guessing more than halfway through and this one definitely did. It wasn’t a huge surprise to me, but it was an unpleasant one. In the beginning, everything is up in the air. No one is safe from doubt, not even poor Rachel. Nothing is completely settled until the very end, as it should be, leading to a perfectly short and powerful climax.The end was fulfilling, yet a little disappointing. I do not like happy-happy endings, but this one lacked hope. It was hinted at, but only one of these women gets to speak and her thoughts are still terrified and troubled. I would have liked to see more resolution for her. As it was, it felt sort of incomplete. My takeaway is that everyone lives in their own distorted version of reality and when the truth shows up it can have devastating repurcussions. So, don’t lie and don ‘t cheat.For the rating:Genre and general reading age – it’s a mystery and thriller. Reading age is adult, due to some really difficult scenes and references, including excessive drinking by more than one of the characters. Sometimes I wondered how they were able to stand up.The level of sexuality – for the amount of cheating involved, it was surprisingly mild. There weren’t actual sex scenes, but memories of trysts and a morning after.Was there graphic language? Not much.Did I cry? Nope.Is it part of a series? Nope.Level of character development was very high. Out of the three men and three women who make up the story, only one was a bit weak. The others were strong and I could see them in my mind.Did I laugh? Nope.This was a fantastically-written story and once I picked it up I couldn’t put it down, literally. I stayed up late into the night with this one. I’m happy to give it <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>.5 stars. It was almost perfect.",16,14,15,19,15,22,9,25,36,33
"77",-2,"I didn't like this book. Sometimes less is more and it's annoying when a villain explains all their motives before they kill someone. Pretty much how this book ends and it reminded me of a silly scary movie.",1,1,0,2,2,1,0,1,4,1
"80",-0.35,"I was contemplating to skip this review. I don’t like to be negative, just because it may not be my cup of tea. In a real life I practice a rule, what I don’t understand, I simply respect, instead of judging it.This is a book review site, and I feel I have to stay true to its purpose.I was very excited to read this book after all the commercial hype about it. I have to admit that I set myself for a real disappointment. I will try to stay constructive and short.CONS:Title - The word ‘girl’ is completely wrong for a divorced thirty something WOMAN.Plot - Predictable, similar concept “Lady on the train” 1945.Characters - Three messed up women, two abusive men. All narrators speak in first person.Ending - Completely flat, fell apart.Pace - First half very slow.PROS:Writing - Paula Hawkins has a unique narrative structure.To me this wasn’t really a mystery, more like a character study. I don’t mind depressing, negative or dark, but non of the characters were likable enough to root for them.",0,4,2,1,2,5,3,8,7,11
"81",-1,"Fabulous. Long & slow going, actually, but every step of the way hypnotic. The tiny details of human character, that's what pulls you on. These characters at first seem so mundane & ordinary, but what explosions lie within each of them! This whole story is like the peeling of an onion, revealing more and more, until you don't want to look anymore, but are compelled to. Sensational!!",1,1,1,0,1,1,0,0,1,1
"82",-0.45,"I agree with some other reviewers. The characters in this novel were all annoying and not believable.  The main character, Rachel, you just want to reach out and smack some sense into her.  I just keep reading so I could be done with it. It is one crazy female after another, surrounded by awful men. I fail to see why this book is getting so many good reviews. Stay away.",4,1,1,2,1,2,1,1,4,6
"83",-0.15,"I still don't get it.  I tried to like this story because it was such a big best seller, but just couldn't get into it and was not at all drawn to any of the characters or their unique situations.  Probably the best part was the end, which exposed a maniacal killer.  I realize the narrative is British, but the author could use some grammar checks.",0,0,0,0,0,0,1,2,2,2
"90",-1.85,"I wonder if I was the only person who hoped that Rachel would also at some point, be murdered. She was almost unbearably pathetic and unfortunately without any other strong, likable characters I just found myself whipping through the book so I didn't have to be reading it anymore.",0,0,1,0,1,1,0,1,1,2
"92",-2.2,"How does a writer get me to feel empathy for a lying, busy-body, pathetic drunk? Rachel had a nice life in the suburbs until difficulty conceiving drove her to drink—in excess! To the point she lost everything. She’s obsessed with her ex, even though he has moved on with another wife and child. Now she’s become obsessed with a couple she sees from the commuter train. She’s given them names and created a fairy tale life for them. Until the day she sees something that shatters the illusion.This suspense has everything. The characters are well-developed; the pace moves along; there are plot twists throughout. It kept me guessing. This is a hard-to-put-down novel. I didn’t want it to end!",2,2,2,2,1,3,2,0,6,4
"94",-0.75,"Flat, predictable, poorly written. I'd have dropped it midbook (which I almost never do) had it not been part of a book club.",0,0,0,0,0,0,0,0,1,0
"96",-1.75,"Dull, tedious & the ""plot twist"" was yawn-inspiring. Let's just say I wasn't expecting a 300 page diary of a drunk woman.",0,1,0,0,1,1,0,1,3,1
"98",-0.8,"Not bad novel. Wanted to read it before watching the movie. After reading the book don't think I will bother watching the movie. Not my kind of story.",1,0,1,1,1,1,0,1,2,2
"99",-0.9,"It took quite an effort to get through it It really draggeedandwas depressing at least half way through it. After reading, I will skip the movie.",0,0,1,0,0,1,0,0,2,2
"102",-6.7,"The Girl on the Train is yet another twist on the classic whodunit. The story is told through the point of view of three women, each with their own flaws and secrets. We meet Rachel Watson, a drunk, unemployed, divorcee who daydreams about the ""perfect"" life of Jess and Jason - a couple she only knows by seeing them from the train every day. When Jess (Megan Hipwell) turns up missing, Rachel takes it upon herself to solve the case. Through a series of lies and deceit, Rachel finds herself face to face with a cast of male characters (all deeply flawed themselves), anyone of whom could be the killer.My thoughts on the book:The writing style is just horrendous and completely unnecessary. The entire book is written in first person, though our POV switches between the three female characters: Rachel, Megan, and Anna. This can lead to confusion when the action flips back and forth. Had this use of first person worked to reveal something about the characters that could just not be said through third-person omniscient, it could have worked. But it was complicated by the fact that each chapter was broken into ""Morning"" and ""Evening"", so the tense switched back and forth between present and past tense. I get that breaking it up this way reflects the two train trips, one in to the city, one back home, but it is unnecessary as most of the action takes place off the train. These two combined makes it difficult to read.This is Hawkins' first novel, and it shows. The bland writing style bored me to death, and it took everything I had in me to finish the book. Stephen King can spend 80% of a book writing about nothing and I love every word of it. Hawkins drew out a boring story where we learn to hate every character involved. Not a single character has a good redeeming quality.I was genuinely surprised when the killer was revealed. I was not shocked, however, and this is a huge negative. When I read the reveal in ""Gone Girl"", I had to put the book down. I could not continue because I had to process what I had just read. I have had this happen in many other books. Good fiction is emotional. You feel shocked because you're so invested in the story and characters. Here, I was just glad it was over.Conclusions:I read this book simply because the movie is coming out soon and it was well known and liked. I was disappointed throughout, and expected much more. There are many things (see above) that could have improved this book. The plot was not bad, it was just poorly developed. The characters were not unbelievable, but they sure were unlikable. The style and prose were atrocious; nothing short of a full rewrite could have saved that.Read at your own risk. If being part of the crowd is more important to you than reading quality fiction, this is your book.",8,10,6,11,5,10,5,9,18,19
"108",-3.8,"pooled ink Reviews:2.5 StarsObviously I was hyped after watching that thrilling movie trailer and decided I would buy the book and read it before I saw the movie. So I did. And now I’m slightly less inclined to see the movie. (But I’ll probably still go because a) Emily Blunt and b) Ooooo it looks crazy!)The book travels up and down the rails following Rachel’s cyclic battle with alcoholism and her obsession with solving Megan’s case as she continues to tangle her life with those linked to Megan, get incredibly drunk, make embarrassing not-great decisions, realizes what she’s done, decides not to drink for half a second and then downs a bottle or two of wine to drown out her embarrassment and misery only to make more poor decisions. It became wearing to read about it for so many pages. Alcoholism is a real problem, I know that, and I also know that I don’t sound very sympathetic, but that’s why I didn’t go to school to become a therapist.The whole book was pretty consistent…and boring. And the killer? It was obvious. I bet you can guess who it was. And the why? It’s pretty easy to guess as well, at least part of it.It’s not a very long book…but it felt long. It felt like the same stuff over and over again. There was nothing exhilarating, surprising, jolting, unnerving. I felt none of it. The only part I enjoyed was the ending of the book when characters starting changing, clues started showing, and all the little lines began meeting to reveal what happened that Saturday night when Megan went missing.All in all this book is filled with sad people with messed up lives making stupid decisions that only work to further ruin their lives. I was tired of reading about it. I just kept waiting for someone to do something worth applauding, but that didn’t come until the very end.Psychological thriller? I think not. THE GIRL ON THE TRAIN is a dull commute that only succeeded in making me snooze as I let the gentle rocking of the train lull me into a stupor. Definitely a story better executed as a movie than a book.Read my FULL review here: [...]",4,4,2,11,3,11,4,6,16,10
"110",-0.75,"Books that garner tons of praise frequently make me suspicious and often disappoint.  As my father's fond of saying: ""just because it's a best seller doesn't mean it's a best reader"" and he's right.  So I ignored this NYT best seller for months but saw that it's being made into a movie and decided to give it a shot.  This is indeed a ""Hitchcockian"" thriller that slowly unwinds and leads to an ending that wraps things up but is a bit unsatisfying...maybe because after all the build up I expected more.  Still, this is one of the more engaging books I've read in awhile and it was hard to put down once I got going.  Alcoholic train commuter Rachel likes to watch out the window going to/from the city and enjoys making up a life for a couple she frequently sees outdoors on their terrace.  Then she witnesses what appears to be infidelity and then someone goes missing but Rachel's frequent alcohol fueled blackouts make her unsure of what she's seen and what she truly knows.  Paula Hawkins freshman novel is a winner and I'd definitely read her next effort.",4,4,2,4,3,4,2,2,5,6
"113",-1,"Hummmmmm. So many with the same title. Confusing and all the back many forth from one character to another.  I read it because of the movie....I like the UK setting and have been on the train...... a bit disappointed in this but stayed with it even though I had it figured out.",1,0,1,0,0,1,0,1,1,1
"116",-3.7,"First off, I think there is somewhat of a ""herd"" mentality in the overall negative ratings by some reviewers of this book. With that off my mind...I see real value in the epiphanies each of the three female characters experienced within the unfolding of the story.Rachel literally rides the train and, to my interpretation, is  also, figuratively riding the train of alcoholism leading to some serious self delusion. She blames the failure of her marriage entirely on herself and carries the burden of the resultant guilt. She never saw her husband clearly. While riding the train into London everyday she invests emotional attachment to a young couple she observes in a house she passes everyday...so much so... she bestows upon them her own made-up names. Events in her own life and in the lives she is observing conspire to literally and figuratively make her get off the train. These events are suspenseful and make for a great storyline. Both Anna and Megan each have different self discoveries. The male characters do not seem to evolve and if anything, each one you meet shares culpability in the main event of the book.  Particularly odious to me (and he is written to actually smell bad) is Scott for his hyper aggressive selfish character; his bullying and his assault of Rachel. Just a personal observation and opinion.Careful reading of this book will yield many clever literary devices. The fact that there is not one smile described as genuine from joy at its root in the whole book.""Everything about him is warm—his hands, his eyes, his voice—everything but the smile. You can see the killer in him when he shows his teeth.""Another is the symbolism behind the small pile of rocks in the corner of Megan and Scott's garden.It is not written as an intense suspense narrative with accelerated pacing and should not be compared with such.  It is written more like a jigsaw puzzle with the pieces to the puzzle locked inside the seemingly blackout mind of the ""Girl on the Train"".  For a satisfying literary and emotional experience and challenge, I highly recommend this book.",10,4,8,11,6,6,4,10,16,16
"121",-0.5,"It's been a long time since I've been able to finish a book because the author seems to lose me in the middle--if not at the beginning. This one though, kept me hooked til the end! Can't wait to see the movie, by I can't imagine it topping the book.",1,3,1,1,0,1,1,1,3,1
"124",-0.5,"I was very disappointed. I read the reviews and thought from the ratings this was a safe bet. After completing the long and dreary story I felt the reviewers who believed this to be a great thriller really haven't read one. Sorry, but this story did nothing for me except wear me out. Very repetitive...",1,3,1,0,2,2,0,3,3,2
"131",-1.9,"Very poorly written, confusing, and literally a waste of my time.  Difficult to distinguish individual characters in the story.  So bad that I continued to read in hopes that it had to improve .... did not.",1,2,2,2,1,1,0,1,3,1
"141",-0.55,"More about girl talk and alcohol and less about suspense! It became boring and I lost interest. It was easy to know who killed Megan.",0,1,0,1,0,1,1,0,2,2
"150",-1.5,"Absolutely captivates the reader into the story, submerged in intense emotional angst of multiple characters which initially seems entwined only within the imagination of a single soul.  Absolute must read.",1,0,1,1,1,0,1,1,1,3
"158",-3.15,"It’s hard to be objective about a novel that strives so determinedly (and successfully) to make its characters as unlikable as those in Paula Hawkins’ bestselling mystery, “The Girl On the Train”. With not one, but three, unreliable narrators jumping back and forth in time offering first-person perspectives on unfolding events, the book chronicles the intertwined stories of sad-sack drunkard, Rachel, the titular girl on the train; Megan, the secretive blonde half of a seemingly perfect couple Rachel spies on from the train; and Anna, a hard-edged suburbanite who envisions herself as the perfect wife and mother.The central mystery begins when one of the women goes missing.The main narrative, necessarily, comes from Rachel, still wallowing in booze and self-pity years after her husband left her for the younger, prettier Anna. In fact, Anna, the usurper, and Rachel’s ex-husband are still living in the same house that once belonged to Rachel. Having lost her job due to drunkenness, Rachel still takes the train each day from the suburbs into London, not only to make her sober-minded roommate think she’s still gainfully employed, but also to keep an eye on her ex and the woman occupying her old home; the train just happens to pass right by the place. A few doors down lives a beautiful young couple whom Rachel also watches, becoming a little too fascinated by their lives lived largely out in the back yard and through open windows. Although Rachel nicknames them Jess and Jason and envies what she perceives to be their idyllic wedded bliss, it soon becomes apparent that appearances are deceiving, especially after she witnesses a shocking act that shakes up her vicarious fantasy life. But, did she, in fact, see what she thought she saw? Rachel’s reality is blurred from heavy drinking which often results in blackouts; her problems are compounded by her stalking of not only her ex-husband, Tom, and his increasingly agitated wife, but of Scott and Megan, the real-life “lovebirds” Rachel knows as Jess and Jason. What follows is a harrowing, sometimes confusing yarn that allows for no “good guys” and sees Rachel making one misstep after another after another until finally, I lost patience with her to the point that I found it difficult to finish the book. A main character doesn’t necessarily have to be likable, or even relatable, to maintain a good story but they should offer up something—sympathy, grudging admiration, even hatred—to keep the reader hooked in to that character, to want to know what happens to him or her. Rachel used up what sympathy I had for her very quickly, and while I didn’t like her at all, I didn’t dislike her enough by the end to care what happened to her. By the time she finally rallies from her downtrodden hangdog state, it was too little, too late; I simply didn’t care. However, being very familiar with the behavior of alcoholics, I did find Rachel’s behavior to be believable (for the most part), if tiring.The character of Megan was more interesting, and perhaps, more sympathetic. With dark secrets in both her past and present, Megan is a well-structured character who is damaged and self-destructive, not a nice woman but not someone who is intentionally cruel. Her own missteps, more dramatic than Rachel’s (at least early on), are poignant and truly heartbreaking, and while the character of Rachel is the protagonist of the story, it is Megan who really drives it.Anna, the third voice in “Girl On the Train”, is probably the least developed of the three narrators. Presented as a vain, calculating homewrecker whose deeds are doubling back on her, Anna is something of a narcissist, who is, understandably, at the end of her rope with Rachel and her attendant drama. Anna considers herself to be clear-headed and sane compared to the other female characters in the novel, although her narcissism precludes her from seeing that she’s as deluded as they are.The problem I found with having three narrators is that their voices begin to seem strangely similar as one chapter featuring Anna flows into the next chapter, narrated by Rachel, and so on. If Rachel isn’t on a drunken binge, it’s difficult to separate her musings from those of Anna; in more than one instance, I found myself thumbing back to the beginning of a chapter to see if it was titled “Rachel”, “Anna” or “Megan”.The men in the story are also difficult to separate in some instances, and even more sketchily written than Anna. Tom, Anna’s husband and Rachel’s ex, is very much like Scott, Megan’s husband, and neither seems to be all that distinctive. There’s also a shady psychiatrist on hand who doesn’t seem to balk at bedding his patients, and a couple of cops who never come to life, existing merely as words on a page. Of course, they’re an awkward necessity in moving the story forward (and in offending Rachel).Also awkward is the fact that characters narrate events in the present, often simultaneously with a different character in the following chapter, while another character narrates events from months, or years, earlier. Again, it’s a necessity in moving the story forward (and in tying up all the loose ends) but it feels awkward. The solution to the mystery, when it comes, isn’t surprising but it is serviceable and doesn’t insult the reader’s intelligence.As trying as I often felt “The Girl On the Train” to be, it does offer up some suspense, and isn’t altogether horrible. Paula Hawkins writes well and I hope she’ll up her game on her next literary outing.",8,13,8,12,13,13,9,19,26,28
